State,R&D Spend,Marketing Spend,Administration Spend,IT Spend,Logistics Spend,HR Spend,Sales Spend,Product Development Spend,Customer Support Spend,Legal Spend,Energy Spend,Research Spend,Profit
Florida,466737.9584,216315.3995,19250.9046,80779.19764,17264.39748,11723.92239,384836.5197,112485.5582,14559.69682,46361.83296,42031.76411,18778.19152,262387.0833
New York,286915.26,26264.87912,126356.9366,17283.22131,78532.98166,78217.61655,128573.6281,20578.51931,51170.23403,32621.93554,36172.87546,38666.82269,159673.6104
Nevada,351358.9037,26020.73469,196329.6782,27533.53379,13127.28833,77183.90549,43727.59255,28796.07167,13527.98581,21322.05432,76837.40919,11473.99223,168124.4247
New York,462024.6968,8572.000194,42070.99171,86060.196,63855.75926,13934.58767,213092.7806,32353.34004,48185.42517,46587.20768,11501.23648,32211.02971,228312.5898
New York,356546.9308,287167.9125,159556.0477,45860.9268,13260.75664,24654.42686,27554.13599,5500.59625,76597.9146,39459.26619,36419.26792,14993.70093,231977.8388
Texas,84744.13103,222564.966,182040.2648,140870.7278,7983.028122,8912.244803,48664.55069,15643.20271,26568.17143,10800.43713,84049.51995,29726.59215,126186.0962
Nevada,292381.2965,109209.1655,,123173.554,91033.52086,22465.69031,91658.80873,118375.6408,48597.83065,7411.275706,8546.113572,30503.67313,183039.2351
Nevada,307290.3727,92477.99648,192226.4429,147567.9466,19822.74787,65460.50736,188418.3487,38510.79175,99209.58097,34114.77015,94349.66375,79460.49238,191814.159
Nevada,217824.0289,108162.4528,106684.6296,40431.28416,82303.7653,30886.93297,176134.1183,14720.82975,68978.39191,28434.27511,98659.05054,79590.22931,144943.2508
New York,370857.6755,233522.7917,195575.0421,145519.0977,54918.45624,7983.360405,320878.2855,13731.96008,84294.32036,39694.00708,10679.68103,10068.11601,256296.5243
Florida,467839.8372,200104.3303,152675.4904,65822.61273,8707.795441,28035.81646,297092.4883,86615.73615,42069.91305,37201.44745,30544.70718,58351.53357,262112.9592
Nevada,463528.5713,59632.69252,36525.93007,53432.78171,95589.37095,78529.28341,173395.7261,102693.671,77018.23139,31635.36516,38495.26527,5087.892894,212265.8286
New York,230911.292,56362.25392,97995.52076,9451.729991,25449.15553,50745.00403,136813.162,31577.32364,5010.408121,49332.72641,78086.35413,3385.169212,149752.2874
Texas,65486.64246,34026.71667,145074.5792,9809.258163,86104.88919,33876.71477,130005.1697,3488.231968,13168.20707,27145.89678,60400.82759,9321.377645,54441.65352
Florida,492572.1875,199789.3023,53231.36158,104417.6659,17712.19057,14156.54257,310728.0595,27547.71219,21103.9887,6542.182069,65147.83865,77273.3669,279509.7227
Texas,421060.0624,230489.9354,129919.9608,69773.49118,85540.34533,78907.96699,25568.60046,7725.367205,40793.24054,41585.40468,76235.96264,75328.22028,239589.0048
Florida,71084.71379,83188.69636,134987.0934,35525.20065,2309.652478,65847.07173,10064.55156,13303.99746,84728.74295,13340.81475,13561.94194,16320.2978,67323.94554
New York,461212.5225,11178.7635,36726.45004,92867.60534,51666.2652,23236.70689,319240.0348,52349.46626,35280.33903,39087.80526,83654.52678,13772.11451,211397.2639
California,436249.2174,29240.64191,115191.6359,39423.0015,77174.81536,6535.426962,193472.8185,28360.28613,65807.49816,47898.2477,71150.74081,20002.27183,212539.5151
Florida,264230.648,290518.7103,155467.2476,87489.49964,93544.75623,5473.419033,56698.04973,62397.55954,71222.11519,35142.98018,58579.48907,41728.21253,184683.1506
Texas,299724.9635,92156.20936,102284.6546,55162.89455,91011.01148,10509.87381,98048.54416,31165.75664,59032.05305,30205.47789,89194.06281,46006.66593,170029.7142
New York,205511.3249,231920.8286,7360.107771,123885.7295,82142.86209,46880.71811,373339.0615,112923.9388,36366.95485,23558.92261,70630.02268,18505.881,158541.3488
Florida,36833.20302,189275.7528,6762.50147,123463.0318,88930.94362,74372.31028,344503.6754,108807.3322,58128.28083,18856.08343,21766.59634,60773.20026,95657.4081
California,174246.6484,117672.1937,74620.72207,72647.85892,20722.7489,40242.73081,285365.0948,68449.9265,34884.29369,18297.2328,44115.04735,25454.70038,114027.5065
California,403398.1898,65677.74235,185607.8433,53921.22818,29134.24528,67592.69311,195478.966,43176.45505,9303.500117,32182.26258,50416.20096,73848.37472,203091.8966
Nevada,12269.69127,40808.99336,49591.97202,55658.84989,29607.88397,36225.04297,210527.8323,46356.47896,99287.59384,,7411.327422,52881.09381,32577.68663
Nevada,173414.5941,186428.8256,128700.9193,121245.7498,38328.33917,56978.10012,390221.5914,50010.42169,13591.06291,34247.3364,95554.47631,35471.74435,144663.4627
Texas,205102.6599,233516.9653,48304.79479,50570.56345,39938.74637,58817.94625,,87581.93933,8162.49,10722.09496,14600.57156,63403.04813,159764.0797
Florida,273323.8454,194951.7548,67725.64798,32940.78731,54910.97714,14743.13277,90031.27309,54745.04047,87974.54417,25205.37183,70351.20419,65615.25546,164775.1956
Florida,460729.252,161439.1293,170368.2075,14533.8746,16828.09657,29536.06866,325386.3037,102950.8636,30881.63143,39790.36354,51610.64154,23948.04684,236566.5239
Nevada,179709.5372,17375.61091,147127.9812,71070.58189,69433.41971,51346.87037,82910.85314,113347.2795,65379.40043,24309.49983,4511.960489,27837.44896,118384.7673
Florida,180007.0689,290704.1894,23602.85908,73355.55064,17589.08739,6585.032047,89347.30376,40977.59225,33571.56724,27294.54071,92625.25263,74940.45714,147382.0504
Florida,371375.6116,240620.6865,88596.89409,126454.4891,31720.53973,29561.67483,272056.7485,67722.64328,39753.97281,38785.66636,85480.00726,14014.54203,239472.5527
California,231586.791,91382.50083,10688.10391,34743.32707,50831.16793,43249.15784,164975.4339,12311.72788,26949.18423,33402.00001,53377.27693,4329.88294,136117.7553
Nevada,120056.3632,294091.2472,98773.57859,58386.7085,79847.61559,79701.73495,372960.0408,24855.81668,34961.35657,21057.90112,24436.34894,36870.37049,146624.9545
New York,231695.3629,182555.0689,134174.6323,121644.0494,74207.45409,38488.15145,40158.84528,50202.42624,41659.33966,44875.22285,13919.04329,64295.58212,163966.8561
Nevada,79019.93999,176814.6842,28108.0116,123896.2944,64907.90128,65468.48381,207052.6281,25538.12319,72321.19084,8965.786365,37612.46298,61961.7804,104944.3353
New York,96429.62339,225681.5879,61332.56309,58922.43924,16421.5528,35133.31552,367816.0045,105310.6984,51642.08323,49780.30598,27031.97154,73642.91968,131555.6688
California,254200.2086,244472.0875,82578.14197,69950.35545,55157.48922,63914.86709,362124.8959,19836.06447,94412.9565,6823.776345,51655.7377,43122.85249,180632.4953
Texas,215273.4703,198661.1892,184308.5498,46886.31185,9657.203678,48037.76933,66829.0393,55223.63776,5146.15899,1732.548584,96708.11102,8905.109054,162882.6593
Florida,458274.4915,42788.24518,198684.728,140018.122,38358.9545,71041.03988,149821.8915,73078.20961,50803.76394,44610.92616,58345.44234,47506.42897,221072.0435
California,187573.0106,104788.9143,13757.7033,19559.27733,41938.1365,33464.46164,249552.953,83331.80507,58838.25409,13002.72191,89213.24348,62493.25353,112620.1314
Florida,294488.2916,278784.6739,153396.5451,140194.9146,4941.332505,48740.04917,67960.97948,46585.255,92099.50162,36755.28174,65786.12607,8372.921501,223223.009
Texas,319809.5011,71261.60549,77486.19295,103212.2349,28124.82185,50771.47577,387368.758,104422.7892,5866.693839,40739.75337,48574.15961,14639.93469,169126.2199
Texas,16416.28373,114789.272,81529.34631,80672.6786,95609.29726,33973.2524,366325.9848,68629.97898,57776.45891,43090.33316,85751.54115,1970.962231,63298.79032
California,335133.3123,132462.6805,152081.6698,6833.540996,95409.62818,12400.65145,70945.32072,53301.42587,85509.36292,49588.11755,48194.0748,47898.55378,178917.5854
Texas,97237.62377,134624.472,184093.1543,72388.23639,35880.37837,8391.193146,52856.4072,9001.635452,24950.84508,15407.94579,87125.56071,71052.01696,104238.3719
New York,480924.4556,185817.1768,190431.0759,62346.71954,5266.910786,2317.052497,38736.35071,56298.04674,87752.9425,35801.92375,30574.52342,53982.40196,278973.4614
Texas,82844.7366,283207.3721,117538.9043,25860.38417,,70009.20688,364230.2473,98667.56506,2885.297518,6654.593056,14623.68123,78581.16692,120630.4276
